"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.04.2012 0:00:00;739;"ยั";5208
01.04.2012 0:00:00;960;"ฬรา";14596
01.03.2012 0:00:00;496288;"ฬรา";5104
01.03.2012 0:00:00;505521;"ฬรา";721
01.03.2012 0:00:00;5262;"ฬรา";4606
01.03.2012 0:00:00;468387;"ฬรา";45
01.04.2012 0:00:00;423;"ยั";92
01.04.2012 0:00:00;209;"ยั";3610
01.03.2012 0:00:00;469386;"สรา";64
01.03.2012 0:00:00;494;"ยั";10659
01.04.2012 0:00:00;5239;"สรา";33
01.04.2012 0:00:00;840;"ยั";5004
01.04.2012 0:00:00;964;"สรา";3
01.04.2012 0:00:00;5028;"ยั";3607
01.04.2012 0:00:00;189;"ยั";8
01.04.2012 0:00:00;197;"ยั";2
